"id","title","questionText","questionDescription","required","useAllSteps","stepIds","useAllErrorCategories","errorCategories","rubricFailureType","answerOptionText","answerOptionScore","answerOptionRequiresJustification"
"77b72767-061f-4f12-9182-eb4747f94a3e","Submission Integrity - Task Reviewability / Core Evidence - Evidence","Rate the Task Reviewability / Core Evidence - Evidence of the Submission Integrity dimension.","Use this dimension to decide whether the task can be meaningfully reviewed based on the submission itself. Focus on whether the task contains the minimum evidence needed to evaluate trajectories, rankings, and scores. See the spec doc for examples. For all options except the last, apply an error category.","true","true","","false","[All] [All] [Non-Fail - Minor Evidence Gaps]; [All] [All] [Fail - Missing Core Evidence]","","[Fail - Missing Core Evidence]
Core task evidence is missing, corrupted, or too incomplete to determine whether the task was performed correctly.","2","true"
"","","","","","","","","","","[Non-Fail - Minor Evidence Gaps]
Minor pieces of context are missing (e.g., one non-critical note) but trajectories, rankings, and scores can still be reviewed end-to-end.","3","true"
"","","","","","","","","","","The task is fully reviewable and contains the required context, trajectories, consistency and evidence needed for a confident QC decision.","5","false"
"8082d27e-f5b7-4839-a809-88ec8b56fa87","Submission Integrity - Task Reviewability / Core Evidence - Consistency","Rate the Task Reviewability / Core Evidence - Consistency of the Submission Integrity dimension.","See the spec doc for examples. For all options except the last, apply an error category.","true","false","step-1776811788151-l910ed","false","[All] [All] [Non-Fail - Minor trajectory inconsistencies]; [All] [All] [Fail - Model Trajectory Consistency]; [All] [All] [Non-Fail - Minor Trajectory Inconsistencies (4)]","","[Fail - Model Trajectory Consistency]
Annotator provides materially different information to models at equivalent milestones, giving one model an information advantage the other must discover independently.
¶NOTE: This does not include cases where a model has proactively addressed something – that is not counted as in informtion advatage for the other model.","2","true"
"","","","","","","","","","","[Non-Fail - Minor trajectory inconsistencies]
Minor framing differences at matching milestones that alter emphasis or level of detail but do not confer an information advantage.","3","true"
"","","","","","","","","","","[Non-Fail - Minor Trajectory Inconsistencies (4)]
Trivial wording differences at matching milestones that are semantically identical (pure rephrasing with no change in content or level of detail).","4","true"
"","","","","","","","","","","The trajectories are fully consistent","5","false"
"a7a4d514-48d1-4283-9de9-203fd59f1571","Submission Integrity - Task Reviewability / Core Evidence - Prompt Matching","Rate the Task Reviewability / Core Evidence - Prompt Matching of the Submission Integrity dimension.","Differences in extra whitespace characters (such as '\n,' '\t', ' ', etc.) that do NOT affect the actual content of the prompts are acceptable. See the spec doc for examples. For all options except the last, apply the error category.","true","false","step-1776811788151-l910ed","false","[All] [All] [Fail - Different Initial Prompts]","","[Fail - Different Initial Prompts]
The initial prompt across both models is not a perfect string-match.","2","true"
"","","","","","","","","","","The initial prompts across both models match exactly.","5","false"
"c07cb3a9-b4e1-4ed4-9892-6f5ac8562064","Submission Integrity - Task Scope / Feasibility","Rate the Task Scope / Feasibility of the Submission Integrity dimension.","A passing task should be coherent, realistically scoped, and feasible to complete through the Mailbox Ring workflow. See the spec doc for examples. For all options except the last, apply an error category.","true","true","","false","[All] [All] [Non-Fail - Minor Scope Issues]; [All] [All] [Fail - Impossible Task]","","[Fail - Impossible Task]
The task cannot be completed with the provided setup, instructions, or environment.","2","true"
"","","","","","","","","","","[Non-Fail - Minor Scope Issues]
Scope is slightly too narrow or too broad but the task still supports a realistic milestone-based session.
Some instructions are ambiguous but a reasonable annotator can still guide the agent through the intended flow.","3","true"
"","","","","","","","","","","The task is appropriately scoped, feasible, and suitable for milestone-based agent interaction.","5","false"
"e12d2366-fdbe-4fee-b9bb-f8985b411149","Trajectory Review - Milestone Achievement Verification","Rate the Milestone Achievement Verification of the Trajectory Review dimension.","The annotator should only move to the next milestone after verifying that the current milestone was actually met. Do not rely on green markers, validator summaries, or completion text alone, the milestone completions must be supported by the trajectories. Non-Fail (3) covers two situations: (a) verification is indirect, e.g., agent output implies completion without explicit confirmation and the annotator could have run one extra check (test run, output inspection) to make it airtight; and (b) a milestone's structural continuation criterion (e.g., per-item commit count or stack order) is not fully met because of a model-side tooling/VCS side effect (e.g., per-item commit commands the tool collapses into a shared commit), while the substantive deliverable and the comparative signal between models remain reviewable. See the spec doc for examples. For all options except the last, apply an error category.

¶ Exception:
- If a milestone was covered proactively by the model, i.e., Milestone 1 was sent, but the model covers Milestone 2 (even without it being sent) in this case, the annotator does not need to send Milestone 2 (it is fine if he sends it, but it's also fine if he doesn't send it).

¶ Note 07/17 - On Reviewability:
¶ For an error to impact reviewability, it has to actually degrade what a reviewer/eval can assess from the trajectory/code alone (client-facing defect).
¶ Example: A milestone requires ""write unit tests before implementation,"" but the model writes the implementation first, then tests (misordered). If the tests still run and validate the final code correctly, the trajectory is still fully reviewable reviewer can see and judge every step so it's just a milestone-order slip, not a reviewability fail.

¶ Contrast: If the CB skips a milestone (e.g., never runs/shows the tests at all), so the reviewer has no way to verify the code actually works that missing evidence breaks reviewability, so it's a Fail.

¶ Even if the reason content is missing is an eng issue (e.g., trajectory got truncated so the code/tests never appear), it still fails reviewability because the reviewer can't assess it either way. The ""cause"" doesn't matter, only whether the trajectory can be judged","true","false","step-1776811788151-l910ed","false","[All] [All] [Fail - Incorrect Milestone Pass]; [All] [All] [Non-Fail - Weak Verification]","","[Fail - Incorrect Milestone Pass]
1+ milestones are skipped, misordered, or completed incorrectly in a way that materially invalidates the task outcome, the final ranking, or the reviewability (see notes) of the trajectory; The contributor continues prompting towards a later milestone before the agent successfully completes a preceding one.","2","true"
"","","","","","","","","","","[Non-Fail - Weak Verification]
Verification evidence exists but is indirect, or a substantially-attempted milestone is left imperfectly satisfied by a subtle implementation or tooling/VCS side effect while the trajectory remains reviewable.","3","true"
"","","","","","","","","","","Each claimed milestone is clearly supported by the observed interaction, outputs, or code state.","5","false"
"cb76debd-8756-4107-8729-671ee34f372b","Trajectory Review - Trajectory Completeness","Rate the Trajectory Completeness of the Trajectory Review dimension.","A complete trajectory should include enough interaction to understand how the annotator worked through the task and reached completion. Provider-side encrypted model reasoning (encrypted chain-of-thought returned by the model provider, e.g., reasoningEncryptedContent blobs) is not authored content and does not count against completeness; only the visible interaction, tool calls/outputs, code, and final state are assessed. See the spec doc for examples. For all options except the last, apply an error category.","true","false","step-1776811788151-l910ed","false","[All] [All] [Fail - Incomplete Trajectory]; [All] [All] [Non-Fail - Minor Completeness Issues]","","[Fail - Incomplete Trajectory]
A required trajectory is missing, truncated, or clearly ends before the claimed completion state.","2","true"
"","","","","","","","","","","[Non-Fail - Minor Completeness Issues]
The trajectory is complete but slightly thin in one section (e.g., a milestone resolved in a single terse turn) while the overall flow remains interpretable.
A tool output is summarized rather than fully shown, but the outcome is still clear.","3","true"
"","","","","","","","","","","The trajectory is complete, interpretable, and sufficient for end-to-end review.","5","false"
